song title,artist,top genre,year,added,bpm,energy,dance,dB,live,valence,dur,acous,spch,popularity,km cluster
Aint Gotta Dollar,Oliver Anthony Music,alternative,2022,2023‑09‑02,110,9,70,-16,8,34,125,83,4,78,1
Call Your Friends,Rod Wave,florida rap,2023,2023‑09‑02,83,66,58,-8,10,24,153,11,10,77,2
The Painter,Cody Johnson,classic texas country,2023,2023‑09‑02,98,71,51,-6,11,26,211,4,3,77,2
SHAKE SUMN,DaBaby,hip hop,2023,2023‑09‑02,143,77,78,-8,17,27,125,0,16,76,2
Good Good,USHER,atl hip hop,2023,2023‑09‑02,141,67,75,-5,12,58,247,4,10,75,2
EL AMOR DE SU VIDA,Grupo Frontera,musica chihuahuense,2023,2023‑09‑02,152,83,62,-3,34,75,166,6,7,75,2
Fight The Feeling,Rod Wave,florida rap,2023,2023‑09‑02,168,54,63,-9,10,15,161,5,6,75,2
Save Me,Jelly Roll,country rap,2020,2023‑09‑02,83,40,68,-10,25,36,241,65,3,74,2
Angels (Don’t Always Have Wings),Thomas Rhett,contemporary country,2023,2023‑09‑02,66,60,53,-4,9,23,200,6,3,74,2
F*ck U Thought,Lil Durk,chicago drill,2023,2023‑09‑02,160,56,64,-7,9,10,192,0,13,74,2
Mona Lisa,Dominic Fike,alternative pop rock,2023,2023‑09‑02,111,65,76,-8,16,45,186,23,12,74,2
Summer Too Hot,Chris Brown,pop rap,2023,2023‑09‑02,90,71,68,-7,37,25,189,16,6,74,2
Anti-Hero,Taylor Swift,pop,2022,2023‑09‑02,97,63,64,-7,15,52,201,13,5,73,2
Love You Anyway,Luke Combs,contemporary country,2023,2023‑09‑02,140,49,53,-7,24,32,230,15,3,72,2
"You, Me, And Whiskey",Justin Moore,arkansas country,2022,2023‑09‑02,144,88,56,-4,17,42,188,8,5,72,2
TRUCK BED,HARDY,contemporary country,2022,2023‑09‑02,132,77,66,-5,35,77,168,9,4,71,2
Everything I Love,Morgan Wallen,contemporary country,2023,2023‑09‑02,104,85,57,-4,15,70,187,0,3,69,2
Bury Me in Georgia,Kane Brown,black americana,2022,2023‑09‑02,160,84,38,-6,47,51,242,1,7,68,2
Standing Room Only,Tim McGraw,contemporary country,2023,2023‑09‑02,155,78,49,-6,14,44,226,15,4,56,2
Girl In Mine,Parmalee,contemporary country,2023,2023‑09‑02,202,68,46,-4,11,89,155,17,5,26,0
Blinding Lights,The Weeknd,canadian contemporary r&b,2020,2021‑05‑18,171,73,51,-6,9,33,200,0,6,92,2
Heat Waves,Glass Animals,gauze pop,2020,2021‑09‑19,81,53,76,-7,9,53,239,44,9,91,2
Watermelon Sugar,Harry Styles,pop,2019,2021‑05‑18,95,82,55,-4,34,56,174,12,5,90,2
Save Your Tears,The Weeknd,canadian contemporary r&b,2020,2021‑05‑18,118,83,68,-5,54,64,216,2,3,89,2
drivers license,Olivia Rodrigo,pop,2021,2021‑05‑18,144,43,56,-9,11,14,242,77,6,88,2
deja vu,Olivia Rodrigo,pop,2021,2021‑05‑18,181,61,44,-7,37,18,216,58,11,88,2
Happier Than Ever,Billie Eilish,art pop,2021,2021‑10‑04,81,23,33,-9,13,30,299,77,3,88,2
traitor,Olivia Rodrigo,pop,2021,2022‑08‑28,101,34,38,-8,12,8,229,69,3,88,2
good 4 u,Olivia Rodrigo,pop,2021,2021‑05‑18,167,66,56,-5,8,69,178,34,15,87,2
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,pop,2021,2021‑12‑01,93,52,63,-9,9,21,613,27,3,87,2
Woman,Doja Cat,dance pop,2021,2021‑09‑09,108,76,82,-4,12,88,173,9,9,87,2
Shivers,Ed Sheeran,pop,2021,2021‑10‑04,141,86,79,-3,4,82,208,28,9,87,2
Bad Habits,Ed Sheeran,pop,2021,2021‑06‑27,126,89,81,-4,37,54,231,5,3,86,2
STAY (with Justin Bieber),The Kid LAROI,australian hip hop,2021,2021‑07‑15,170,76,59,-5,10,48,142,4,5,86,2
Fair Trade (with Travis Scott),Drake,canadian hip hop,2021,2021‑09‑09,168,47,67,-9,22,29,291,5,26,86,2
Cold Heart - PNAU Remix,Elton John,glam rock,2021,2021‑09‑19,116,80,80,-6,10,94,203,3,3,86,2
Beggin',Måneskin,indie rock italiano,2017,2021‑07‑21,134,80,71,-5,36,59,212,13,5,85,2
telepatía,Kali Uchis,colombian pop,2020,2021‑05‑18,84,52,65,-9,20,55,160,11,5,85,2
Love Story (Taylor’s Version),Taylor Swift,pop,2021,2021‑05‑18,119,79,63,-4,10,42,236,14,3,85,2
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,canadian pop,2021,2021‑05‑18,90,70,68,-6,42,46,198,32,12,84,2
Easy On Me,Adele,british soul,2021,2021‑10‑14,142,37,60,-8,13,13,225,58,3,84,2
Yonaguni,Bad Bunny,reggaeton,2021,2021‑06‑08,180,65,64,-5,14,44,207,28,12,84,2
positions,Ariana Grande,pop,2020,2021‑05‑18,144,80,74,-5,9,68,172,47,9,84,2
Pepas,Farruko,reggaeton,2021,2021‑09‑09,130,77,76,-4,13,44,287,1,3,84,2
THATS WHAT I WANT,Lil Nas X,lgbtq+ hip hop,2021,2021‑09‑19,88,85,74,-5,5,55,144,1,22,84,2
Leave Before You Love Me (with Jonas Brothers),Marshmello,brostep,2021,2021‑12‑03,120,74,72,-5,12,64,155,0,4,84,2
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,canadian contemporary r&b,2021,2021‑05‑18,118,83,65,-5,9,59,191,2,3,83,2
Leave The Door Open,Bruno Mars,dance pop,2021,2021‑05‑18,148,62,59,-8,9,72,242,18,3,83,2
You Right,Doja Cat,dance pop,2021,2021‑06‑27,129,62,83,-6,8,44,186,2,6,83,2
I WANNA BE YOUR SLAVE,Måneskin,indie rock italiano,2021,2021‑07‑21,133,61,75,-4,18,96,173,0,4,83,2
Streets,Doja Cat,dance pop,2019,2021‑05‑18,90,46,75,-8,34,19,227,21,8,83,2
Mood (feat. iann dior),24kGoldn,cali rap,2021,2021‑05‑18,91,72,70,-4,32,73,141,17,4,83,2
Dynamite,BTS,k-pop,2020,2021‑05‑18,114,77,75,-4,9,74,199,1,10,83,2
Heartbreak Anniversary,Giveon,r&b,2020,2021‑05‑18,89,47,45,-9,30,54,198,52,8,82,2
willow,Taylor Swift,pop,2020,2021‑05‑18,81,57,39,-9,14,53,215,83,17,82,2
love nwantiti (ah ah ah),CKay,afro r&b,2019,2021‑10‑04,93,74,73,-4,16,53,146,37,4,82,2
LA NOCHE DE ANOCHE,Bad Bunny,reggaeton,2020,2021‑05‑18,82,62,86,-5,9,39,203,3,29,82,2
What You Know Bout Love,Pop Smoke,brooklyn drill,2021,2021‑05‑18,84,55,71,-8,13,54,160,65,35,82,2
Good Days,SZA,pop,2020,2021‑05‑18,121,66,44,-8,69,41,279,50,6,81,2
MONEY,LISA,k-pop,2021,2023‑04‑21,140,55,83,-10,15,40,168,16,22,81,2
My Universe,Coldplay,permanent wave,2021,2021‑10‑04,105,70,59,-6,20,44,228,1,4,81,2
Calling My Phone,Lil Tjay,brooklyn drill,2021,2021‑05‑18,105,39,91,-8,14,20,205,45,5,81,2
RAPSTAR,Polo G,chicago rap,2021,2022‑07‑28,81,54,79,-7,13,44,166,41,24,81,2
Head & Heart (feat. MNEK),Joel Corry,dance pop,2020,2021‑05‑18,123,87,73,-3,5,91,166,17,7,81,2
34+35,Ariana Grande,pop,2020,2021‑05‑18,110,59,83,-6,25,49,174,24,9,80,2
The Business,Tiësto,big room,2020,2021‑05‑18,120,62,80,-7,11,24,164,41,23,80,2
DÁKITI,Bad Bunny,reggaeton,2020,2021‑05‑18,110,57,73,-10,11,14,205,40,5,80,2
Prisoner (feat. Dua Lipa),Miley Cyrus,pop,2020,2021‑05‑18,128,67,78,-4,8,60,169,1,5,80,2
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,pop,2021,2021‑05‑18,99,68,71,-5,15,72,227,4,3,80,2
m y . l i f e (with 21 Savage & Morray),J. Cole,conscious hip hop,2021,2021‑05‑21,140,59,60,-7,21,8,219,6,14,80,2
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,lgbtq+ hip hop,2021,2022‑05‑16,150,69,74,-7,5,89,212,2,7,79,2
Kiss Me More (feat. SZA),Doja Cat,dance pop,2021,2021‑05‑18,111,70,76,-4,12,74,209,24,3,79,2
Butter,BTS,k-pop,2021,2021‑05‑21,110,46,76,-5,8,70,165,0,9,79,2
Todo De Ti,Rauw Alejandro,puerto rican pop,2021,2021‑06‑08,128,72,78,-4,9,34,200,31,5,79,2
Girls Want Girls (with Lil Baby),Drake,canadian hip hop,2021,2021‑09‑19,87,44,77,-9,14,38,222,18,29,78,2
Permission to Dance,BTS,k-pop,2021,2021‑07‑15,125,74,70,-5,34,65,188,1,4,78,2
Meet Me At Our Spot,THE ANXIETY,modern alternative pop,2020,2022‑05‑15,95,47,77,-8,9,40,163,2,3,78,2
Praise God,Kanye West,chicago rap,2021,2022‑05‑15,118,55,80,-6,26,21,227,1,17,78,2
Astronaut In The Ocean,Masked Wolf,australian hip hop,2021,2021‑05‑18,150,70,78,-7,15,47,133,18,9,77,2
Your Power,Billie Eilish,art pop,2021,2021‑06‑08,130,28,63,-14,23,21,246,93,8,77,2
Summer of Love (Shawn Mendes & Tainy),Shawn Mendes,canadian pop,2021,2022‑05‑15,124,81,78,-5,10,49,184,3,12,77,2
Life Goes On,Oliver Tree,alternative hip hop,2021,2022‑05‑15,80,49,70,-5,12,57,162,19,8,77,2
MONTERO (Call Me By Your Name),Lil Nas X,lgbtq+ hip hop,2021,2021‑05‑18,179,51,61,-7,38,76,138,30,15,76,2
pov,Ariana Grande,pop,2020,2021‑05‑18,132,53,49,-6,10,17,202,36,6,76,2
We're Good,Dua Lipa,dance pop,2021,2021‑05‑18,134,59,72,-6,18,59,166,3,5,76,2
Motley Crew,Post Malone,dfw rap,2021,2021‑07‑15,130,63,80,-4,10,29,184,9,8,76,2
Levitating (feat. DaBaby),Dua Lipa,dance pop,2020,2021‑05‑18,103,83,70,-4,7,92,203,1,6,75,2
Build a Bitch,Bella Poarch,modern alternative pop,2021,2021‑06‑08,103,46,86,-7,35,87,123,22,4,75,2
Bandido,Myke Towers,reggaeton,2020,2021‑05‑18,168,62,71,-5,10,68,233,12,9,75,2
Therefore I Am,Billie Eilish,art pop,2020,2021‑05‑18,94,34,89,-8,6,72,174,22,7,75,2
GIRL LIKE ME,Black Eyed Peas,dance pop,2020,2021‑05‑18,124,49,97,-9,7,31,223,2,19,74,2
BICHOTA,KAROL G,reggaeton,2020,2021‑05‑18,164,67,86,-4,10,84,179,21,15,74,2
Lemonade,Internet Money,pop rap,2020,2021‑05‑18,140,66,80,-6,11,47,195,26,8,74,2
Best Friend (feat. Doja Cat),Saweetie,cali rap,2021,2021‑05‑18,94,77,84,-4,7,40,156,0,14,74,2
What’s Next,Drake,canadian hip hop,2021,2021‑05‑18,130,59,78,-7,16,6,178,1,5,74,2
Hurricane,Kanye West,chicago rap,2021,2021‑09‑09,80,56,59,-7,11,35,243,5,15,74,2
Whoopty,CJ,nyc rap,2020,2021‑05‑18,140,65,72,-8,13,66,123,20,13,73,2
Anyone,Justin Bieber,canadian pop,2021,2021‑05‑18,116,54,69,-8,11,58,191,18,3,73,2
Afterglow,Ed Sheeran,pop,2020,2021‑05‑18,110,32,64,-6,33,27,185,70,3,73,2
Skate,Bruno Mars,dance pop,2021,2021‑09‑19,112,60,71,-8,17,70,203,4,3,73,2
Up,Cardi B,pop,2021,2021‑05‑18,166,80,87,-6,5,82,157,0,27,72,2
Baila Conmigo (with Rauw Alejandro),Selena Gomez,pop,2021,2021‑05‑18,150,54,82,-7,10,66,186,2,7,72,2
WITHOUT YOU (with Miley Cyrus),The Kid LAROI,australian hip hop,2021,2021‑05‑18,93,47,66,-6,10,47,161,17,3,72,2
Lost Cause,Billie Eilish,art pop,2021,2021‑06‑08,75,33,53,-8,6,52,212,70,25,72,2
On The Ground,ROSÉ,k-pop,2021,2021‑05‑18,189,61,31,-7,13,29,168,2,11,72,2
Hold On,Justin Bieber,canadian pop,2021,2021‑05‑18,140,63,66,-6,13,29,171,1,4,71,2
Body,Megan Thee Stallion,houston rap,2020,2021‑05‑18,94,73,91,-6,11,47,171,2,24,71,2
Dick (feat. Doja Cat),StarBoi3,slowed and reverb,2021,2022‑05‑15,126,61,65,-7,6,47,175,13,42,71,2
Solar Power,Lorde,art pop,2021,2021‑06‑13,88,48,73,-9,31,88,193,24,9,68,2
Rumors (feat. Cardi B),Lizzo,escape room,2021,2021‑09‑19,119,73,83,-6,42,61,173,13,9,68,2
Arcade (feat. FLETCHER),Duncan Laurence,dutch pop,2020,2021‑12‑03,72,40,45,-9,13,27,187,82,4,68,2
late at night,Roddy Ricch,melodic rap,2021,2022‑08‑27,99,40,64,-11,14,11,175,34,41,66,2
As I Am (feat. Khalid),Justin Bieber,canadian pop,2021,2021‑05‑18,100,54,60,-8,10,11,174,13,4,66,2
test drive,Ariana Grande,pop,2021,2021‑05‑18,115,71,70,-5,12,32,122,3,5,65,2
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",Ariana Grande,pop,2021,2021‑05‑18,110,66,88,-6,23,73,182,21,30,65,2
t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW,afrofuturism,2021,2021‑09‑19,90,83,39,-5,16,19,168,0,6,65,2
Need to Know,Doja Cat,dance pop,2021,2021‑06‑13,130,61,66,-7,9,19,211,30,7,63,2
Girl From Rio,Anitta,funk pop,2021,2021‑12‑03,140,64,69,-7,20,73,194,1,4,62,2
Selfish Love (with Selena Gomez),DJ Snake,edm,2021,2021‑05‑18,111,65,72,-8,10,44,169,2,10,61,2
Met Him Last Night (feat. Ariana Grande),Demi Lovato,pop,2021,2021‑05‑18,145,51,54,-5,10,12,205,22,3,60,2
Everybody Wants To Rule The World,Tears For Fears,new romantic,1985,2023‑05‑02,112,80,65,-12,10,54,251,35,5,90,2
Take on Me,a-ha,new romantic,1985,2023‑05‑02,84,90,57,-8,9,88,225,2,5,88,2
Mr. Brightside,The Killers,alternative rock,2004,2023‑05‑02,148,91,35,-5,10,24,223,0,7,87,2
Dreams - 2004 Remaster,Fleetwood Mac,album rock,1977,2023‑05‑02,120,49,83,-10,13,79,258,6,3,87,2
Ain't No Mountain High Enough,Marvin Gaye,classic soul,1967,2023‑05‑02,130,60,66,-11,18,80,152,43,3,87,2
I'm Still Standing,Elton John,glam rock,1983,2023‑05‑02,177,90,50,-7,14,77,183,36,18,86,2
Africa,TOTO,album rock,1982,2023‑05‑02,93,37,67,-18,5,73,296,26,3,86,2
Running Up That Hill (A Deal With God),Kate Bush,art pop,1985,2023‑05‑02,108,55,63,-13,6,19,299,72,5,85,2
Here Comes The Sun - Remastered 2009,The Beatles,beatlesque,1969,2023‑05‑02,129,54,56,-10,18,39,186,3,3,85,2
"Hey, Soul Sister",Train,dance pop,2010,2023‑05‑02,97,89,67,-4,8,80,217,19,4,85,2
Shut Up and Dance,WALK THE MOON,dance rock,2014,2023‑05‑02,128,87,58,-4,26,62,199,1,6,85,2
Hey Ya!,Outkast,atl hip hop,2003,2023‑05‑02,80,97,73,-2,17,97,235,10,7,84,2
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,glam rock,1972,2023‑05‑02,137,53,60,-9,9,34,282,43,3,83,2
Everywhere - 2017 Remaster,Fleetwood Mac,album rock,1987,2023‑05‑02,115,49,73,-11,9,73,227,26,3,83,2
Brown Eyed Girl,Van Morrison,classic rock,1967,2023‑05‑02,151,58,49,-11,41,91,183,19,4,83,2
What's Up?,4 Non Blondes,new wave pop,1992,2023‑05‑02,134,56,56,-10,11,45,296,16,3,83,2
Best Day Of My Life,American Authors,modern rock,2014,2023‑05‑02,100,90,67,-2,6,54,194,6,3,82,2
Mr. Blue Sky,Electric Light Orchestra,album rock,1977,2023‑05‑02,178,34,39,-10,25,48,303,65,3,82,2
Smooth Operator - Single Version,Sade,british soul,1994,2023‑06‑01,119,58,73,-7,3,96,259,24,3,82,2
Put Your Records On,Corinne Bailey Rae,british soul,2006,2023‑05‑02,96,51,74,-8,13,54,215,17,4,82,2
I'm Yours,Jason Mraz,acoustic pop,2008,2023‑05‑02,151,44,70,-9,10,71,243,56,4,82,2
My Girl,The Temptations,memphis soul,1965,2023‑05‑02,105,42,57,-11,10,69,165,64,3,82,2
Tongue Tied,GROUPLOVE,indie rock,2011,2023‑05‑02,113,94,56,-6,16,37,218,1,4,81,2
Drops of Jupiter (Tell Me),Train,dance pop,2001,2023‑05‑02,79,64,48,-6,15,50,260,15,3,81,2
Landslide,Fleetwood Mac,album rock,1975,2023‑05‑02,159,16,41,-22,12,42,199,88,3,80,1
American Pie,Don McLean,classic rock,1971,2023‑05‑02,138,48,53,-12,8,49,517,70,6,80,2
Dancing in the Moonlight,Toploader,british alternative rock,2000,2023‑05‑02,119,86,63,-3,35,87,233,6,3,80,2
Sweet Caroline,Neil Diamond,adult standards,1969,2023‑05‑02,63,13,53,-16,24,58,204,61,3,80,1
Eyes Without A Face,Billy Idol,album rock,1983,2023‑06‑01,84,82,39,-6,28,65,299,2,5,80,2
Don't Stop - 2004 Remaster,Fleetwood Mac,album rock,1977,2023‑05‑02,119,71,67,-8,4,83,193,4,4,80,2
Dog Days Are Over,Florence + The Machine,baroque pop,2009,2023‑05‑16,150,81,49,-5,12,25,252,4,8,79,2
Tiny Dancer,Elton John,glam rock,1971,2023‑05‑02,145,43,41,-11,15,28,377,38,3,79,2
Dreams,The Cranberries,irish rock,1993,2023‑05‑02,129,64,55,-13,42,51,272,0,4,79,2
Come and Get Your Love - Single Version,Redbone,native american contemporary,1973,2023‑05‑02,107,80,73,-8,7,96,206,17,5,79,2
Don't You (Forget About Me),Simple Minds,album rock,1985,2023‑05‑02,111,82,66,-7,6,68,263,17,3,79,2
The Joker,Steve Miller Band,album rock,1973,2023‑05‑02,83,45,60,-10,21,80,265,37,4,79,2
Young Folks,Peter Bjorn and John,alternative dance,2006,2023‑05‑02,138,81,70,-6,11,66,277,2,4,78,2
Are You Gonna Be My Girl,Jet,garage rock,2003,2023‑05‑02,105,95,61,-3,15,54,214,0,9,78,2
Let's Stay Together,Al Green,classic soul,1972,2023‑05‑02,102,40,76,-11,5,51,199,58,5,78,2
Brandy (You're a Fine Girl),Looking Glass,sunshine pop,1972,2023‑05‑02,125,63,72,-11,13,83,187,40,6,78,2
Come On Eileen,Dexys Midnight Runners,new romantic,1982,2023‑05‑02,107,66,45,-7,26,78,287,66,5,78,2
Escape (The Pina Colada Song),Rupert Holmes,yacht rock,1979,2023‑05‑02,139,51,84,-14,4,95,276,47,5,78,2
Love Grows (Where My Rosemary Goes),Edison Lighthouse,alternative,1970,2023‑05‑02,109,82,57,-5,9,75,175,40,3,77,2
Spirit In The Sky,Norman Greenbaum,classic rock,1969,2023‑05‑02,129,62,61,-7,12,54,243,10,3,77,2
"Take Me Home, Country Roads",John Denver,classic country pop,1997,2023‑05‑02,82,43,38,-13,19,55,198,55,3,77,2
Alright,Supergrass,alternative rock,1995,2023‑05‑02,146,96,47,-5,30,70,181,0,8,76,2
Bennie And The Jets - Remastered 2014,Elton John,glam rock,1973,2023‑05‑02,133,67,67,-8,50,78,323,26,5,76,2
Don't Stop Me Now - Remastered 2011,Queen,classic rock,1978,2023‑05‑02,156,87,56,-5,77,60,209,5,16,76,2
Stacy's Mom,Fountains Of Wayne,pop rock,2003,2023‑05‑02,118,75,77,-5,8,93,198,0,4,76,2
Crazy On You,Heart,album rock,1975,2023‑05‑02,130,46,43,-12,13,38,293,12,3,75,2
This Will Be (An Everlasting Love),Natalie Cole,adult standards,1975,2023‑05‑02,127,62,69,-11,3,90,172,23,4,75,2
I Try,Macy Gray,neo soul,1999,2023‑05‑02,76,64,59,-7,8,74,239,31,3,75,2
She's so High,Tal Bachman,pop rock,1999,2023‑05‑02,124,84,54,-5,10,21,225,20,4,74,2
Hey Lover,The Daughters Of Eve,alternative,1966,2023‑05‑02,128,48,48,-11,35,68,144,25,4,73,2
Better Together,Jack Johnson,neo mellow,2005,2023‑05‑02,110,35,87,-10,11,66,208,31,5,73,2
"Hold On, I'm Comin'",Sam & Dave,classic soul,1966,2023‑05‑02,107,34,80,-14,10,91,156,20,3,73,2
Don't Stop Believin',Journey,album rock,2001,2023‑05‑02,119,80,49,-7,39,47,249,25,4,73,2
Home - 2019 - Remaster,Edward Sharpe & The Magnetic Zeros,la indie,2009,2023‑05‑02,112,63,53,-6,10,11,306,25,3,72,2
Banana Pancakes,Jack Johnson,neo mellow,2005,2023‑05‑02,114,38,82,-8,9,62,192,61,10,72,2
Don't Worry Be Happy,Bobby McFerrin,a cappella,1988,2023‑05‑02,69,17,68,-23,5,75,294,88,17,71,1
Go Your Own Way - 2004 Remaster,Fleetwood Mac,album rock,1977,2023‑05‑02,135,94,59,-5,7,83,224,2,4,71,2
Send Me on My Way,Rusted Root,jam band,1996,2023‑05‑02,119,68,50,-10,14,75,263,11,7,70,2
Our House,"Crosby, Stills, Nash & Young",album rock,1970,2023‑05‑02,140,21,59,-15,12,38,180,90,5,70,1
Sweet Disposition,The Temper Trap,indietronica,2009,2023‑05‑02,129,82,53,-7,12,34,231,7,4,69,2
Edge of Seventeen,Stevie Nicks,heartland rock,2007,2023‑05‑02,111,83,59,-6,9,64,330,28,4,69,2
There She Goes,The La's,britpop,1990,2023‑05‑02,123,85,54,-7,16,91,162,1,3,69,2
Hooked On A Feeling,Blue Swede,classic swedish pop,2014,2023‑05‑02,118,82,55,-7,30,93,173,26,8,69,2
(What A) Wonderful World,Sam Cooke,classic soul,2000,2023‑05‑02,129,51,69,-10,46,89,125,63,3,69,2
Do You Realize??,The Flaming Lips,alternative rock,2002,2023‑05‑02,130,80,46,-5,39,55,213,1,3,68,2
Stuck In The Middle With You,Stealers Wheel,folk rock,2009,2023‑05‑02,124,56,80,-10,6,96,204,9,4,68,2
Beautiful Day,U2,irish rock,2000,2023‑05‑02,136,93,54,-6,36,45,246,1,5,68,2
Rich Girl,Daryl Hall & John Oates,album rock,2005,2023‑05‑02,168,64,60,-6,4,82,144,50,13,68,2
Upside Down,Jack Johnson,neo mellow,2006,2023‑05‑02,102,66,79,-8,14,65,209,24,4,67,2
Solsbury Hill,Peter Gabriel,album rock,1977,2023‑05‑02,102,63,68,-9,31,48,261,36,3,67,2
Jump in the Line,Harry Belafonte,calypso,1961,2023‑05‑02,116,89,59,-8,12,80,222,77,25,67,2
Should I Stay or Should I Go - Remastered,The Clash,alternative rock,2013,2023‑05‑02,113,84,74,-6,42,85,188,8,11,65,2
Piano Man,Billy Joel,album rock,1973,2023‑05‑02,179,48,33,-9,31,41,336,62,3,64,2
Lovely Day,Bill Withers,funk,1994,2023‑05‑02,98,56,69,-13,8,69,255,19,3,64,2
Good Vibrations - Remastered 2001,The Beach Boys,baroque pop,2006,2023‑05‑02,133,50,40,-7,15,38,218,39,3,64,2
Tainted Love,Soft Cell,new romantic,1981,2023‑05‑02,144,45,54,-10,58,63,154,56,4,62,2
Peggy's Cove,Sarah Watson,alternative,2023,2023‑09‑05,104,9,42,-27,9,20,135,99,3,66,1
Lisser,Miran,alternative,2023,2023‑09‑05,95,6,33,-28,8,31,125,98,4,66,1
Morning Dance,Amine Ayad,alternative,2022,2023‑09‑05,66,6,40,-23,11,14,115,98,4,64,1
White Garden,Amine Ayad,alternative,2022,2023‑09‑05,165,7,33,-25,13,36,127,99,5,61,1
Echoes,Crimson Memoirs,alternative,2023,2023‑09‑05,164,7,34,-25,12,22,120,99,5,61,1
Ottilia,Yana Couto,alternative,2022,2023‑09‑05,127,10,47,-17,12,20,150,99,4,61,1
Aufgang der Sonne,Ploxxio,background piano,2022,2023‑09‑05,129,4,37,-29,10,23,173,98,4,61,1
Hour of Rest,William Cas,background piano,2021,2023‑09‑05,143,1,31,-28,11,11,113,97,4,61,1
Starry Sky,April Baxter,background piano,2022,2023‑09‑05,108,3,56,-25,9,10,140,99,4,59,1
"Waltz No. 1, Collapse",Hikaru Shirosu,anime score,2022,2023‑09‑05,156,2,51,-27,12,19,156,99,4,57,1
Mystique,Cassandra Nestico,background piano,2022,2023‑09‑05,166,5,42,-28,11,14,150,98,4,56,1
Without You,April Baxter,background piano,2023,2023‑09‑05,93,3,35,-31,11,24,157,99,4,56,1
Lost Frequencies,Cecile Roy,background piano,2023,2023‑09‑05,175,5,25,-33,7,26,140,99,4,55,1
Peace Frame,Mauvais Roger,background piano,2022,2023‑09‑05,121,10,32,-27,8,25,179,100,4,55,1
Feeling for the next,Noemi Lucas,alternative,2023,2023‑09‑05,178,3,30,-27,14,23,125,99,4,54,1
I Still Miss You,Boil The Ocean,chill beats,2023,2023‑09‑05,142,4,32,-29,10,13,126,99,3,54,1
Utsjoki,Vegard,background music,2023,2023‑09‑05,107,6,36,-30,9,38,144,99,4,54,1
Fleurs de cerisier,Chloé Czans,background piano,2022,2023‑09‑05,89,5,42,-27,11,9,160,99,3,54,1
Homestead,Chris Donner,background piano,2022,2023‑09‑05,128,9,31,-30,11,36,162,98,4,54,1
Arcticgrey,The Masked Pianoman,alternative,2021,2023‑09‑05,75,0,41,-34,10,27,122,99,5,54,1
Sunlight,Sanna Aalto,background piano,2023,2023‑09‑05,101,10,40,-24,11,41,125,100,3,53,1
Verse and stanza,Aimon Cour,background piano,2023,2023‑09‑05,96,3,42,-25,11,11,120,100,4,52,1
Ingénue,Nino Carl,alternative,2023,2023‑09‑05,87,3,44,-27,10,16,148,100,4,52,1
Sailing Away,Anthony Jacobus,neo-classical,2023,2023‑09‑05,87,2,38,-23,13,33,144,99,4,52,1
Traumtänzer,Lisa Kriegler,alternative,2023,2023‑09‑05,83,2,37,-22,10,27,122,99,4,51,1
Oaks Bluffs,Elinaura,alternative,2022,2023‑09‑05,175,11,37,-21,9,44,117,99,4,51,1
Secret Language (Solo Piano Version),Sonny Santos,alternative,2023,2023‑09‑05,79,3,28,-27,9,19,158,99,4,51,1
With Ease,Loumi Des Moines,alternative,2023,2023‑09‑05,109,2,40,-32,10,39,159,100,4,51,1
Emerald Enlightenment,Aramis Morel,alternative,2023,2023‑09‑05,151,3,41,-32,9,27,100,100,5,51,1
River Running Free,Miriam Raye,background piano,2021,2023‑09‑05,192,7,27,-31,10,52,136,99,5,51,1
Stundom,Jacob David,neo-classical,2021,2023‑09‑05,123,3,39,-31,12,22,148,99,4,51,1
Apelblom,Alfred Janders,background piano,2021,2023‑09‑05,67,3,41,-29,11,32,124,100,4,51,1
Thirst,Tales of Vibrations,alternative,2023,2023‑09‑05,140,5,40,-25,9,34,157,99,3,50,1
nyvallen,Ove Roos,alternative,2023,2023‑09‑05,83,11,48,-23,12,42,129,100,5,50,1
Place to Remember,Rich Mortimer,alternative,2023,2023‑09‑05,82,8,50,-26,10,33,98,100,3,50,1
Når du er nær,Leah Dreyer,background piano,2023,2023‑09‑05,80,9,35,-27,11,53,125,99,4,50,1
Corrente,Scott Laudier,alternative,2023,2023‑09‑05,99,4,40,-25,11,14,123,99,4,49,1
Up toward the sky,Thomas Preber,background piano,2023,2023‑09‑05,55,3,55,-27,11,22,138,100,4,49,1
Fare la limonata,Anastasio Confortola,alternative,2022,2023‑09‑05,140,21,28,-27,12,64,169,100,5,49,1
Waltz For Nala,Igulfrid,alternative,2021,2023‑09‑05,75,5,26,-24,11,16,138,96,4,49,1
Rondel,Lydia Webber,background piano,2021,2023‑09‑05,106,1,37,-31,14,39,171,99,4,49,1
De seu,Mirta da Silva,background piano,2021,2023‑09‑05,178,3,32,-27,11,31,155,100,4,49,1
Interstellar Seasons,Thalia Havenstein,background piano,2021,2023‑09‑05,45,5,30,-22,10,7,152,98,4,49,1
