,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
201,Solarised,Biba Dupont,spanish electronic,2022,2023‑09‑05,91,3,46,-27,11,7,156,99,4,31
202,Blumenwiese,Paul Herfort,,2022,2023‑09‑05,102,6,48,-26,11,23,160,99,3,31
203,Play,Noël,background piano,2022,2023‑09‑05,82,19,41,-24,10,66,153,95,6,31
204,One Ordinary Day,Tim Firth,,2022,2023‑09‑05,78,3,51,-26,9,27,135,99,6,31
205,Childhood Friends,Noël,background piano,2023,2023‑09‑05,88,20,44,-20,11,45,127,99,3,31
206,Stay Close,Larry McDavid,background piano,2023,2023‑09‑05,202,6,30,-27,11,77,120,100,7,31
207,Blue Dream (Softly),Fiona Joy Hawkins,new age,2022,2023‑09‑05,70,3,37,-21,9,15,189,99,4,31
208,Contemplate,Noël,background piano,2022,2023‑09‑05,90,7,50,-22,13,45,132,99,3,31
209,Floating Alone,Sylvio,,2022,2023‑09‑05,128,11,46,-26,8,69,145,99,3,31
210,Las Torres,Rafael Zoko,background piano,2022,2023‑09‑05,109,7,35,-22,11,6,180,99,4,31
211,Speicherstadt,Stephan Neudorf,,2020,2023‑09‑05,174,8,32,-26,10,45,143,100,5,31
212,Marlina,Amos Coelllo,,2022,2023‑09‑05,117,2,33,-29,10,7,181,100,5,30
213,Chambers,Ali Toygar,,2023,2023‑09‑05,119,3,43,-28,16,8,145,99,4,25
214,Whimsical,Matt Stewart-Evans,focus,2023,2023‑09‑05,131,5,51,-27,11,25,132,99,5,24
215,Sonder,Eugene Goh,,2022,2023‑09‑05,129,10,45,-24,11,8,175,99,4,0
