song title,artist,energy,song and artist
I Never Told You,Colbie Caillat,63,"I Never Told You by, Colbie Caillat"
All We Do,Oh Wonder,28,"All We Do by, Oh Wonder"
Miserable Man,David Kushner,35,"Miserable Man by, David Kushner"
Romantic Homicide,d4vd,54,"Romantic Homicide by, d4vd"
Just A Dream,Nelly,83,"Just A Dream by, Nelly"
listen before i go,Billie Eilish,6,"listen before i go by, Billie Eilish"
Big Girls Don't Cry (Personal),Fergie,65,"Big Girls Don't Cry (Personal) by, Fergie"
This Town,Niall Horan,41,"This Town by, Niall Horan"
Control,Zoe Wees,47,"Control by, Zoe Wees"
Someone Else,Alexander Oscar,60,"Someone Else by, Alexander Oscar"
Hard to Sleep,Gracie Abrams,15,"Hard to Sleep by, Gracie Abrams"
Girls Like Us,Zoe Wees,65,"Girls Like Us by, Zoe Wees"
Ribs,Lorde,47,"Ribs by, Lorde"
Falling Up,Dean Lewis,76,"Falling Up by, Dean Lewis"
Summertime Sadness,Lana Del Rey,67,"Summertime Sadness by, Lana Del Rey"
Arcade,Duncan Laurence,35,"Arcade by, Duncan Laurence"
What A Time,Julia Michaels,47,"What A Time by, Julia Michaels"
Someone New,Eskobar,54,"Someone New by, Eskobar"
IDK You Yet,Alexander 23,31,"IDK You Yet by, Alexander 23"
Bruises,Lewis Capaldi,32,"Bruises by, Lewis Capaldi"
How Do I Say Goodbye,Dean Lewis,64,"How Do I Say Goodbye by, Dean Lewis"
Breathe Me,Sia,55,"Breathe Me by, Sia"
Flowers Need Rain - Acoustic,Preston Pablo,26,"Flowers Need Rain - Acoustic by, Preston Pablo"
It'll Be Okay,Shawn Mendes,26,"It'll Be Okay by, Shawn Mendes"
Run Away to Mars,TALK,38,"Run Away to Mars by, TALK"
Video Games,Lana Del Rey,26,"Video Games by, Lana Del Rey"
Diamonds - Live At Abbey Road Studios,Sam Smith,60,"Diamonds - Live At Abbey Road Studios by, Sam Smith"
Strong,Arkells,23,"Strong by, Arkells"
Writer In The Dark,Lorde,27,"Writer In The Dark by, Lorde"
Bored,Billie Eilish,32,"Bored by, Billie Eilish"
Beautiful Scars,Maximillian,46,"Beautiful Scars by, Maximillian"
"I miss you, I’m sorry",Gracie Abrams,45,"I miss you, I’m sorry by, Gracie Abrams"
Try,Colbie Caillat,39,"Try by, Colbie Caillat"
More Than Life,Whitley,44,"More Than Life by, Whitley"
The Hardest Part - Acoustic,Olivia Dean,20,"The Hardest Part - Acoustic by, Olivia Dean"
Half A Man,Dean Lewis,20,"Half A Man by, Dean Lewis"
Heather,Conan Gray,43,"Heather by, Conan Gray"
Leave Me,Jada,47,"Leave Me by, Jada"
happier,Olivia Rodrigo,44,"happier by, Olivia Rodrigo"
Kill Em With Kindness - Acoustic,Selena Gomez,21,"Kill Em With Kindness - Acoustic by, Selena Gomez"
Lose You To Love Me,Selena Gomez,34,"Lose You To Love Me by, Selena Gomez"
Scared To Live,The Weeknd,50,"Scared To Live by, The Weeknd"
the breakup.,MOODY,34,"the breakup. by, MOODY"
I Hate This Part,The Pussycat Dolls,63,"I Hate This Part by, The Pussycat Dolls"
drown,Elliot,28,"drown by, Elliot"
Hey There Delilah,Plain White T's,29,"Hey There Delilah by, Plain White T's"
Smile,Gregory Porter,20,"Smile by, Gregory Porter"
You and I,d4vd,94,"You and I by, d4vd"
Stone Cold,Demi Lovato,45,"Stone Cold by, Demi Lovato"
My Immortal,Evanescence,26,"My Immortal by, Evanescence"
Scars To Your Beautiful,Alessia Cara,74,"Scars To Your Beautiful by, Alessia Cara"
The Hardest Part,Olivia Dean,57,"The Hardest Part by, Olivia Dean"
Is It Just Me?,Emily Burns,34,"Is It Just Me? by, Emily Burns"
2 Much,Justin Bieber,44,"2 Much by, Justin Bieber"
Now That I Think About It,Alex Vargas,73,"Now That I Think About It by, Alex Vargas"
changes,XXXTENTACION,31,"changes by, XXXTENTACION"
Happy Ending,MIKA,47,"Happy Ending by, MIKA"
Sleep Well,d4vd,38,"Sleep Well by, d4vd"
Confessions,Jamie Fine,38,"Confessions by, Jamie Fine"
Remember - Acoustic,Becky Hill,38,"Remember - Acoustic by, Becky Hill"
Unsteady,X Ambassadors,83,"Unsteady by, X Ambassadors"
NUMB,XXXTENTACION,41,"NUMB by, XXXTENTACION"
Simple As This,Jake Bugg,60,"Simple As This by, Jake Bugg"
Anchor,Soran,67,"Anchor by, Soran"
As the World Caves In,Sarah Cothran,25,"As the World Caves In by, Sarah Cothran"
Still Alive,Maximillian,37,"Still Alive by, Maximillian"
London Is Lonely,Holly Humberstone,43,"London Is Lonely by, Holly Humberstone"
Seventeen Going Under,Sam Fender,87,"Seventeen Going Under by, Sam Fender"
Fingers Crossed,Lauren Spencer Smith,47,"Fingers Crossed by, Lauren Spencer Smith"
Ripples,Maximillian,35,"Ripples by, Maximillian"
I'll Be Waiting,Cian Ducrot,64,"I'll Be Waiting by, Cian Ducrot"
You Are The Reason,Calum Scott,24,"You Are The Reason by, Calum Scott"
The Mess I Made,Parachute,58,"The Mess I Made by, Parachute"
Walked Through Hell,Anson Seabra,40,"Walked Through Hell by, Anson Seabra"
In My Mind,Lyn Lapid,38,"In My Mind by, Lyn Lapid"
Apologize,OneRepublic,73,"Apologize by, OneRepublic"
Feels Like,Gracie Abrams,48,"Feels Like by, Gracie Abrams"
Anyway,Noah Kahan,16,"Anyway by, Noah Kahan"
what if i took it off for you?,Nemahsis,24,"what if i took it off for you? by, Nemahsis"
Impossible,Shontelle,59,"Impossible by, Shontelle"
Lonely,Justin Bieber,24,"Lonely by, Justin Bieber"
Mariners Apartment Complex,Lana Del Rey,29,"Mariners Apartment Complex by, Lana Del Rey"
if this is the last time,LANY,59,"if this is the last time by, LANY"
Broken,Jake Bugg,41,"Broken by, Jake Bugg"
could cry just thinkin about you - Full Version,Troye Sivan,32,"could cry just thinkin about you - Full Version by, Troye Sivan"
Remember - Acoustic / Sped Up,Becky Hill,51,"Remember - Acoustic / Sped Up by, Becky Hill"
everything i wanted - Prime Day Show x Billie Eilish,Billie Eilish,38,"everything i wanted - Prime Day Show x Billie Eilish by, Billie Eilish"
Unlearn,benny blanco,21,"Unlearn by, benny blanco"
TV,Billie Eilish,24,"TV by, Billie Eilish"
emails i can’t send,Sabrina Carpenter,39,"emails i can’t send by, Sabrina Carpenter"
Me And My Broken Heart,Rixton,81,"Me And My Broken Heart by, Rixton"
Somewhere Only We Know,Keane,66,"Somewhere Only We Know by, Keane"
Make It To Me,Sam Smith,38,"Make It To Me by, Sam Smith"
Teenage Tears,Arkells,35,"Teenage Tears by, Arkells"
"Read All About It, Pt. III",Emeli Sandé,52,"Read All About It, Pt. III by, Emeli Sandé"
Say You Love Me,Jessie Ware,46,"Say You Love Me by, Jessie Ware"
Make You Mine - Acoustic,PUBLIC,39,"Make You Mine - Acoustic by, PUBLIC"
All For You,Cian Ducrot,29,"All For You by, Cian Ducrot"
Haunted House,Holly Humberstone,27,"Haunted House by, Holly Humberstone"
Perfectly Wrong,Shawn Mendes,31,"Perfectly Wrong by, Shawn Mendes"
How Long Will I Love You,Ellie Goulding,32,"How Long Will I Love You by, Ellie Goulding"
I Lied,Lord Huron,27,"I Lied by, Lord Huron"
Oblivion,Bastille,32,"Oblivion by, Bastille"
People Watching,Conan Gray,59,"People Watching by, Conan Gray"
Family Line,Conan Gray,40,"Family Line by, Conan Gray"
Camden,Gracie Abrams,26,"Camden by, Gracie Abrams"
comethru,Jeremy Zucker,18,"comethru by, Jeremy Zucker"
Losing You,Aquilo,44,"Losing You by, Aquilo"
Hunger,Florence + The Machine,68,"Hunger by, Florence + The Machine"
Wolves,Azure Ryder,21,"Wolves by, Azure Ryder"
You Make It Real,James Morrison,57,"You Make It Real by, James Morrison"
Before You Go,Lewis Capaldi,57,"Before You Go by, Lewis Capaldi"
You & Jennifer,bülow,70,"You & Jennifer by, bülow"
I'm Not Calling You A Liar,Florence + The Machine,51,"I'm Not Calling You A Liar by, Florence + The Machine"
Hotel,Montell Fish,43,"Hotel by, Montell Fish"
Astronomy,Conan Gray,34,"Astronomy by, Conan Gray"
As It Was,Harry Styles,73,"As It Was by, Harry Styles"
Me Porto Bonito,Bad Bunny,71,"Me Porto Bonito by, Bad Bunny"
Something in the Orange,Zach Bryan,19,"Something in the Orange by, Zach Bryan"
Jimmy Cooks (feat. 21 Savage),Drake,67,"Jimmy Cooks (feat. 21 Savage) by, Drake"
Ojitos Lindos,Bad Bunny,69,"Ojitos Lindos by, Bad Bunny"
Tití Me Preguntó,Bad Bunny,72,"Tití Me Preguntó by, Bad Bunny"
Efecto,Bad Bunny,48,"Efecto by, Bad Bunny"
Wasted On You,Morgan Wallen,66,"Wasted On You by, Morgan Wallen"
Late Night Talking,Harry Styles,73,"Late Night Talking by, Harry Styles"
I Like You (A Happier Song) (with Doja Cat),Post Malone,67,"I Like You (A Happier Song) (with Doja Cat) by, Post Malone"
WAIT FOR U (feat. Drake & Tems),Future,64,"WAIT FOR U (feat. Drake & Tems) by, Future"
Sunroof,Nicky Youre,71,"Sunroof by, Nicky Youre"
Moscow Mule,Bad Bunny,67,"Moscow Mule by, Bad Bunny"
Glimpse of Us,Joji,32,"Glimpse of Us by, Joji"
abcdefu,GAYLE,54,"abcdefu by, GAYLE"
Levitating,Dua Lipa,88,"Levitating by, Dua Lipa"
Buy Dirt,Jordan Davis,56,"Buy Dirt by, Jordan Davis"
Knife Talk (with 21 Savage ft. Project Pat),Drake,42,"Knife Talk (with 21 Savage ft. Project Pat) by, Drake"
Rock and A Hard Place,Bailey Zimmerman,57,"Rock and A Hard Place by, Bailey Zimmerman"
You Should Probably Leave,Chris Stapleton,48,"You Should Probably Leave by, Chris Stapleton"
First Class,Jack Harlow,58,"First Class by, Jack Harlow"
Bad Habit,Steve Lacy,51,"Bad Habit by, Steve Lacy"
Boyfriend,Dove Cameron,61,"Boyfriend by, Dove Cameron"
Party,Bad Bunny,80,"Party by, Bad Bunny"
PUFFIN ON ZOOTIEZ,Future,66,"PUFFIN ON ZOOTIEZ by, Future"
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,60,"Vegas (From the Original Motion Picture Soundtrack ELVIS) by, Doja Cat"
Fall In Love,Bailey Zimmerman,64,"Fall In Love by, Bailey Zimmerman"
PROVENZA,KAROL G,52,"PROVENZA by, KAROL G"
Bam Bam (feat. Ed Sheeran),Camila Cabello,70,"Bam Bam (feat. Ed Sheeran) by, Camila Cabello"
Oh My God,Adele,73,"Oh My God by, Adele"
Después de la Playa,Bad Bunny,90,"Después de la Playa by, Bad Bunny"
Sand In My Boots,Morgan Wallen,54,"Sand In My Boots by, Morgan Wallen"
Get Into It (Yuh),Doja Cat,66,"Get Into It (Yuh) by, Doja Cat"
You Proof,Morgan Wallen,85,"You Proof by, Morgan Wallen"
The Kind of Love We Make,Luke Combs,75,"The Kind of Love We Make by, Luke Combs"
Super Freaky Girl,Nicki Minaj,89,"Super Freaky Girl by, Nicki Minaj"
MAMIII,Becky G,70,"MAMIII by, Becky G"
All Too Well (Taylor's Version),Taylor Swift,53,"All Too Well (Taylor's Version) by, Taylor Swift"
We Don't Talk About Bruno,Carolina Gaitán - La Gaita,45,"We Don't Talk About Bruno by, Carolina Gaitán - La Gaita"
One Right Now (with The Weeknd),Post Malone,78,"One Right Now (with The Weeknd) by, Post Malone"
pushin P (feat. Young Thug),Gunna,42,"pushin P (feat. Young Thug) by, Gunna"
Numb Little Bug,Em Beihold,53,"Numb Little Bug by, Em Beihold"
Surface Pressure,Jessica Darrow,58,"Surface Pressure by, Jessica Darrow"
Hrs & Hrs,Muni Long,55,"Hrs & Hrs by, Muni Long"
Super Gremlin,Kodak Black,41,"Super Gremlin by, Kodak Black"
Big Energy,Latto,81,"Big Energy by, Latto"
All I Want for Christmas Is You,Mariah Carey,63,"All I Want for Christmas Is You by, Mariah Carey"
5 Foot 9,Tyler Hubbard,80,"5 Foot 9 by, Tyler Hubbard"
Broadway Girls (feat. Morgan Wallen),Lil Durk,75,"Broadway Girls (feat. Morgan Wallen) by, Lil Durk"
she's all i wanna be,Tate McRae,64,"she's all i wanna be by, Tate McRae"
Flower Shops (feat. Morgan Wallen),ERNEST,46,"Flower Shops (feat. Morgan Wallen) by, ERNEST"
BREAK MY SOUL,Beyoncé,89,"BREAK MY SOUL by, Beyoncé"
I Hate U,SZA,39,"I Hate U by, SZA"
Take My Name,Parmalee,66,"Take My Name by, Parmalee"
What Happened To Virgil (feat. Gunna),Lil Durk,53,"What Happened To Virgil (feat. Gunna) by, Lil Durk"
TO THE MOON,JNR CHOI,65,"TO THE MOON by, JNR CHOI"
Til You Can't,Cody Johnson,81,"Til You Can't by, Cody Johnson"
In A Minute,Lil Baby,61,"In A Minute by, Lil Baby"
Like I Love Country Music,Kane Brown,82,"Like I Love Country Music by, Kane Brown"
Smokin Out The Window,Bruno Mars,62,"Smokin Out The Window by, Bruno Mars"
Rockin' Around The Christmas Tree,Brenda Lee,47,"Rockin' Around The Christmas Tree by, Brenda Lee"
Essence (feat. Justin Bieber & Tems),Wizkid,69,"Essence (feat. Justin Bieber & Tems) by, Wizkid"
Jingle Bell Rock,Bobby Helms,42,"Jingle Bell Rock by, Bobby Helms"
She Likes It (feat. Jake Scott),Russell Dickerson,33,"She Likes It (feat. Jake Scott) by, Russell Dickerson"
Trouble With A Heartbreak,Jason Aldean,80,"Trouble With A Heartbreak by, Jason Aldean"
One Mississippi,Kane Brown,85,"One Mississippi by, Kane Brown"
Last Night Lonely,Jon Pardi,82,"Last Night Lonely by, Jon Pardi"
Doin' This,Luke Combs,55,"Doin' This by, Luke Combs"
AA,Walker Hayes,75,"AA by, Walker Hayes"
Damn Strait,Scotty McCreery,64,"Damn Strait by, Scotty McCreery"
A Holly Jolly Christmas,Burl Ives,38,"A Holly Jolly Christmas by, Burl Ives"
Never Say Never (with Lainey Wilson),Cole Swindell,94,"Never Say Never (with Lainey Wilson) by, Cole Swindell"
Circles Around This Town,Maren Morris,81,"Circles Around This Town by, Maren Morris"
She Had Me At Heads Carolina,Cole Swindell,91,"She Had Me At Heads Carolina by, Cole Swindell"
Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,55,"Until I Found You (with Em Beihold) - Em Beihold Version by, Stephen Sanchez"
Nonsense,Sabrina Carpenter,70,"Nonsense by, Sabrina Carpenter"
SNAP,Rosa Linn,64,"SNAP by, Rosa Linn"
Sure Thing,Miguel,61,"Sure Thing by, Miguel"
Single Soon,Selena Gomez,57,"Single Soon by, Selena Gomez"
Where Are You Now,Lost Frequencies,64,"Where Are You Now by, Lost Frequencies"
RUNAWAY,OneRepublic,68,"RUNAWAY by, OneRepublic"
Unstoppable,Sia,78,"Unstoppable by, Sia"
Electric Love,BØRNS,80,"Electric Love by, BØRNS"
TRUSTFALL,P!nk,89,"TRUSTFALL by, P!nk"
Left and Right (Feat. Jung Kook of BTS),Charlie Puth,59,"Left and Right (Feat. Jung Kook of BTS) by, Charlie Puth"
Light Switch,Charlie Puth,63,"Light Switch by, Charlie Puth"
Celestial,Ed Sheeran,85,"Celestial by, Ed Sheeran"
Lil Boo Thang,Paul Russell,70,"Lil Boo Thang by, Paul Russell"
Someone To You,BANNERS,90,"Someone To You by, BANNERS"
When I’m Gone (with Katy Perry),Alesso,89,"When I’m Gone (with Katy Perry) by, Alesso"
Make You Mine,PUBLIC,80,"Make You Mine by, PUBLIC"
That’s Not How This Works (feat. Dan + Shay),Charlie Puth,58,"That’s Not How This Works (feat. Dan + Shay) by, Charlie Puth"
Coast (feat. Anderson .Paak),Hailee Steinfeld,88,"Coast (feat. Anderson .Paak) by, Hailee Steinfeld"
Victoria's Secret,Jax,56,"Victoria's Secret by, Jax"
Can I Get It,Adele,68,"Can I Get It by, Adele"
World's Smallest Violin,AJR,70,"World's Smallest Violin by, AJR"
NO BAD DAYS (feat. Collett),Macklemore,86,"NO BAD DAYS (feat. Collett) by, Macklemore"
You,Dan + Shay,57,"You by, Dan + Shay"
Clarity,Vance Joy,87,"Clarity by, Vance Joy"
favorite kind of high,Kelly Clarkson,80,"favorite kind of high by, Kelly Clarkson"
Wonder Woman,John Legend,48,"Wonder Woman by, John Legend"
CUFF IT,Beyoncé,73,"CUFF IT by, Beyoncé"
Little Bit of Love,Tom Grennan,71,"Little Bit of Love by, Tom Grennan"
Joy,Andy Grammer,79,"Joy by, Andy Grammer"
N95,Kendrick Lamar,67,"N95 by, Kendrick Lamar"
"Living Life, In The Night",Cheriimoya,50,"Living Life, In The Night by, Cheriimoya"
Ambition For Cash,Key Glock,73,"Ambition For Cash by, Key Glock"
YuNg BrAtZ,XXXTENTACION,70,"YuNg BrAtZ by, XXXTENTACION"
TOXIC,YOUNGX777,95,"TOXIC by, YOUNGX777"
vent,Baby Keem,38,"vent by, Baby Keem"
Adonis Interlude (The Montage) (with J. Cole),Dreamville,83,"Adonis Interlude (The Montage) (with J. Cole) by, Dreamville"
HEATSEEKER,$werve,84,"HEATSEEKER by, $werve"
LED,OmenXIII,66,"LED by, OmenXIII"
Gimme a Second,Saliva Grey,72,"Gimme a Second by, Saliva Grey"
Fighter,The Score,84,"Fighter by, The Score"
Royalty - Wiguez & Alltair Remix,Egzod,90,"Royalty - Wiguez & Alltair Remix by, Egzod"
GHOSTKILLA,1nonly,86,"GHOSTKILLA by, 1nonly"
LIGHTS OUT,Kxllswxtch,87,"LIGHTS OUT by, Kxllswxtch"
Dynasties & Dystopia (from the series Arcane League of Legends),Denzel Curry,83,"Dynasties & Dystopia (from the series Arcane League of Legends) by, Denzel Curry"
Advanced - Remix,callmestevieray,65,"Advanced - Remix by, callmestevieray"
JOKER,Dax,70,"JOKER by, Dax"
Euro$tep,West,58,"Euro$tep by, West"
Violin,Cookiee Kawaii,88,"Violin by, Cookiee Kawaii"
Cyberfreak,Khantrast,43,"Cyberfreak by, Khantrast"
The Call,League of Legends,54,"The Call by, League of Legends"
PUT YOU ON GAME,Russ,69,"PUT YOU ON GAME by, Russ"
Another Level,Oh The Larceny,78,"Another Level by, Oh The Larceny"
Satin Black,iamjakehill,68,"Satin Black by, iamjakehill"
Hasty,conscience,75,"Hasty by, conscience"
THE REV3NGE,Joey Bada$$,85,"THE REV3NGE by, Joey Bada$$"
RNA,Katori Walker,76,"RNA by, Katori Walker"
Go!,NEFFEX,88,"Go! by, NEFFEX"
MAMBO,DIRTYXAN,51,"MAMBO by, DIRTYXAN"
BLACK LAGOON,Kxllswxtch,55,"BLACK LAGOON by, Kxllswxtch"
Bunny Thot,Khantrast,85,"Bunny Thot by, Khantrast"
Coward,iamjakehill,54,"Coward by, iamjakehill"
D13.,Kill Dyll,92,"D13. by, Kill Dyll"
the motive,BTWRKS,82,"the motive by, BTWRKS"
HOW YOU DOIN?,DIRTYXAN,46,"HOW YOU DOIN? by, DIRTYXAN"
Ready or Not,Hulvey,66,"Ready or Not by, Hulvey"
I'm A Monster,Lucha,91,"I'm A Monster by, Lucha"
Back From the Dead,iamjakehill,79,"Back From the Dead by, iamjakehill"
Okay I'm Turnt - Remix,DJ Fronteo,55,"Okay I'm Turnt - Remix by, DJ Fronteo"
Carolina Reaper,Ryan Caraveo,77,"Carolina Reaper by, Ryan Caraveo"
Spirits Pt. 2,Party Favor,97,"Spirits Pt. 2 by, Party Favor"
ILLANOISE,NXTMIKE,56,"ILLANOISE by, NXTMIKE"
Baby Stop,Altajmusic,39,"Baby Stop by, Altajmusic"
Sarcophagus,do not resurrect,73,"Sarcophagus by, do not resurrect"
Get Me Hype (Intro),Lebra Jolie,66,"Get Me Hype (Intro) by, Lebra Jolie"
KNOCKED OUT,Canon,67,"KNOCKED OUT by, Canon"
Fall in Line,Yung Rare,83,"Fall in Line by, Yung Rare"
Ballin,Logic,87,"Ballin by, Logic"
