song title,artist,energy,song and artist
ouma,Fall Ball,7,"ouma by, Fall Ball"
eternal wind down,Riley Power,25,"eternal wind down by, Riley Power"
Into The Deep End,The Purple Stripe,14,"Into The Deep End by, The Purple Stripe"
Flowing,Lucas Delphy,14,"Flowing by, Lucas Delphy"
Stillness Within,Roots and Recognition,10,"Stillness Within by, Roots and Recognition"
Ethereal Glow,Far & Beyond,11,"Ethereal Glow by, Far & Beyond"
two,cloudcrush,16,"two by, cloudcrush"
Everlonging,Niveous,15,"Everlonging by, Niveous"
Will to Live,Jacob Yoffee,11,"Will to Live by, Jacob Yoffee"
Falling Rivers,Yolta,6,"Falling Rivers by, Yolta"
everpresent,Imber Sun,18,"everpresent by, Imber Sun"
Snowfields,Shape Of Our Dreams,23,"Snowfields by, Shape Of Our Dreams"
For a Moment,Amaranth Cove,21,"For a Moment by, Amaranth Cove"
Further Than Far,Shape Of Our Dreams,6,"Further Than Far by, Shape Of Our Dreams"
Awakening,Starlight Passage,5,"Awakening by, Starlight Passage"
Coming Home,Zoe Connelly,14,"Coming Home by, Zoe Connelly"
Bortom Träden,Erik Reno,6,"Bortom Träden by, Erik Reno"
Arriving,Hilder Sky,1,"Arriving by, Hilder Sky"
Rainy Nights,Random Forest,38,"Rainy Nights by, Random Forest"
Needless to Say,Elkoo,9,"Needless to Say by, Elkoo"
River Deep,2am Fieldscape,1,"River Deep by, 2am Fieldscape"
lining the cloud,Aguto Rising,5,"lining the cloud by, Aguto Rising"
zoot suit,Blackbird Co.,14,"zoot suit by, Blackbird Co."
Golden,Clear Blue Skies,32,"Golden by, Clear Blue Skies"
Hold the Handle,Forest Landing,22,"Hold the Handle by, Forest Landing"
jubilance,Däalo,15,"jubilance by, Däalo"
Catch a Breath,Light of Sun,16,"Catch a Breath by, Light of Sun"
The Meaning,Fondur,7,"The Meaning by, Fondur"
Rectifier,12dust,10,"Rectifier by, 12dust"
Lupina's Dream,Lama House,13,"Lupina's Dream by, Lama House"
Midnight Mirage,Atlas,4,"Midnight Mirage by, Atlas"
Mind Of Lust,Sandomina,15,"Mind Of Lust by, Sandomina"
Dreamer,Ygor Ghensev,18,"Dreamer by, Ygor Ghensev"
Eleven Shades,Lunaire,14,"Eleven Shades by, Lunaire"
Time Travel,AMBIE,29,"Time Travel by, AMBIE"
Change Of Tides,Stories Seldom Told,7,"Change Of Tides by, Stories Seldom Told"
Den inre skogen,Thomas Jackson,38,"Den inre skogen by, Thomas Jackson"
The Discovery,Sulfur Springs,13,"The Discovery by, Sulfur Springs"
Wild Flowers,MVS,11,"Wild Flowers by, MVS"
Takeoff,Silo Silo,32,"Takeoff by, Silo Silo"
Projections,Jacob Yoffee,7,"Projections by, Jacob Yoffee"
mellow,cloudcrush,16,"mellow by, cloudcrush"
